argument,score
"Marriage does not keep pace with the times. Get out of the old way of thinking and bring something that includes all associations, not just those with one man and one woman.",0.297659077
"A multi-party system would be too confusing, and it would be difficult to build public consensus.",0.726133019
"People are reaching their limits when it comes to their quality of life and should be able to end their suffering with little or no help, and people can say goodbye.",0.225211679
"100% agree, if they do, it would be a good thing",0.004103873
"A ban on naturopathy creates a united front between scientists and the government, which can combat the anti-science rhetoric of the naturopathy industry.",0.337723646
"A ban would be catastrophic for the surrogate mother. Surrogacy will take place anyway, because there is a need for it, but there will be no health and legal standard for the process.",0.96366698
"A ban would be ineffective, people who so desperately want a baby will find a way to enforce it, either illegally or in a predictable country that does not ban it.",0.041720721
A ban would only add to the already worrying trend of dangerous surgeons going abroad.,0.971312317
"A basic principle of punishment is that it should be proportionate to crime, and therefore the death penalty is the only legitimate response to a first-degree crime such as murder.",0.992866894
"A birth defect or disfiguring injury can severely affect a person's self-esteem, and minors should have the opportunity to correct this with parental permission.",0.939252944
"A child cannot simply see a plastic surgeon and undergo unnecessary surgery, parental consent and medical prescriptions are in place to ensure that this is only carried out safely and in a dignified case of malformation.",0.972616324
a child is a gift and should be valued regardless of gender,0.001903521
"a child is still growing, physically and mentally, plastic surgery should not be considered until he is an adult and can make this decision",0.714954857
"A child's body is still developing, and the flaw that a child sees in itself can be resolved if it is an adult.",0.998986628
The value of a child should not be based on gender.,0.015381622
A city is the best place for people to have nearby what they need,0.161095644
"A collectivist culture cultivates desirable values such as kindness, generosity, and attentiveness to the needs of others.",0.957329342
"A university degree is no longer a guarantee that you have a job, and it is no longer even necessary for a decent career. It is a waste of money; a large proportion of qualifications become obsolete.",0.645738584
"Higher education is too expensive for most people to afford, yet it is almost a prerequisite for getting a good job. By helping to pay off student loans, we also help our economy and provide better jobs.",0.938525563
"A company can pay a manager whatever he wants. If the person is a great value to his company, his salary does not matter how high it is.",0.753564682
Companies can pay their employees higher salaries if executive compensation is limited,0.015683626
A company has the right to determine how much executive pay it is allowed to pay.,0.135287585
Companies should be able to decide for themselves how much they want to pay one of their employees,0.969036661
A company should be able to pay for everything it needs to attract the right talent; it will pay only what the market determines what the person is worth.,0.410583207
"In a compulsory vote, we get everyone to give their opinion.",0.009431057
A consumer does not know what is really a natural remedy as there is no regulation,0.916790048
Cosmetic surgery may be necessary for a terribly scarred child.,0.684453944
A country has the right to develop any weapon that helps it defend itself against an enemy.,0.807195588
"A country should have the right to defend itself as it sees fit, even if it does not intend to use nuclear weapons.",0.757894899
A country with a diverse population is better represented by a multi-party system.,0.999748492
A couple does not have to legally bind themselves to each other by marrying in order to prove their love.,0.180185489
A cure or treatment can be discovered shortly after someone has ended their life unnecessarily.,0.603442273
"A democratic and free society should respect physical autonomy, so we should have the right to do what we want with our institution, including its use in the legal organ trade.",0.928966338
A disadvantage of naturopathy is when natural remedies are taken to treat diseases without seeking qualified medical help.,0.359889845
a father figure who plays an active role in the life of his child has a positive effect on the child,0.082785548
"A father has the right to sacrifice his job to spend time with his newborn, but this is a lifestyle choice and should be self-funded, not by the taxpayer.",0.972989384
A few loud words should not be able to change the year of the law,3.31e-05
"A flag is only a symbol and has no real meaning in itself. Therefore, it is no big deal to burn it.",0.783845894
A flag is mass produced and has no additional commercial value other than the material with which it is made.,0.133357612
"a flag is nothing more than a symbol, if you would ban the burning of flags, you would have to ban the burning of football shirts, etc.",0.944616324
a flag is just a piece of fabric and there is no ban on burning fabrics,0.0009339
"A flag is only a symbol, and burning it is an expression of anger and freedom of speech.",0.82076391
a flag is actually only a peace of fabric and does no harm to anyone.,0.013245956
a flag symbolizes a country and burning it shows disrespect,0.908157556
Gender-neutral language should be introduced so that conversation and language are fair for all.,0.916760962
Gender neutral language would improve gender equality,0.314975271
"Gender neutral language is what we should all learn to speak, it will help us deal with racism and other social problems",0.23386457
The introduction of gender-neutral language would take hundreds of years and should therefore be abandoned.,0.345162727
"A good proportion of telemarketers these days are not even human, and that is illegal and immoral.",0.000237642
A state-funded Wikipedia would become a state-controlled Wikipedia.,0.99889274
A group can work more effectively and effectively if it works together and opposes individuals.,0.061585121
a group of collective thinking in accordance with an attitude make them bigger.,0.011339073
High voter turnout is important for a proper democratic mandate and the functioning of democracy,0.990959788
A dying person can help others to live and bring his family to life through organ trafficking,0.174780608
a human rights activist argued that people should not be racially profiled because they belong to a particular group or have a different skin colour.,0.010998268
"A judge, who allows her personal feelings to be included in a decision-making process, called the ruling unfair.",0.943759479
A judge is a credible person whose decision should be trusted.,0.258393394
"A judge is only supposed to interpret whether the legal issue is constitutional activism, which effectively enacts laws from the bench that go beyond what the judiciary is allowed to do.",0.768438114
A judge is not a God and therefore should not make the entire decision.,0.014374563
A judge is presumably highly respected and should abide by the law he has sworn to uphold impartially.,0.711094591
A judge should uphold the rule of law and not change it with his own opinions / views / convictions.,0.894754685
A judge should be allowed to judge the constitutionality of an argument in part on the basis of his or her own faith.,0.950336313
A judge should not be able to present his personal view of things.,0.060952293
The opinion of a judge should not be relevant to the decision to appoint a judge.,0.528725278
The opinion of a judge should not take precedence over official law.,0.938968429
"The role of a judge is not to flout the law and override guidelines, but to enforce them.",0.900997019
"a judge should be allowed to consider a crime and the situation to which the person was exposed in relation to his act, and the penalty should be determined in relation to an individual situation.",0.239941155
"a judge should be allowed to make his or her decision on the basis of specific situations and circumstances and to make his or her judgment on the basis of the information and information provided, rather than on the basis of a strict general standard.",0.211898673
"a juge should follow the law, and not be of the opinion that they are regarded as the supreme power to judge the law which they serve and to uphold.",0.505571111
A key advantage of a multi-party system is that voters can decide for themselves which political party they want to vote for.,0.775433948
"A lack of self-confidence due to appearance can cripple people's lives, and plastic surgery can help reduce this.",0.982727947
Lack of control means no one intervenes when things go wrong,0.050557159
A lack of votes led to a situation in which their representation in Parliament was not fair.,0.926138098
A language that does not include gender deprives people of their personality.,0.258451502
a larger group of people can often offer more value if there is more power. there is more value for a large group with more idea and more staff.,0.365297667
Legal organ trafficking would increase the availability of transplant organs and save lives,0.985871844
Legalised organ trafficking would dramatically improve the stock of transplant organs and save lives.,0.999937717
Legalised organ trafficking would increase the stock available for medical procedures and make the procedure safer and more regulated.,0.881625001
Legalized trade would disproportionately harm people from poorer economic backgrounds and legitimize the enormous medical risk associated with it.,0.779496826
"A legalised market would exploit the poor, who would be most likely to sell their organs because of financial problems.",0.998937389
A lifestyle that does not harm others should be legal,0.01739913
Much more work and research could be done if we gave up television.,0.380684593
"Many gender-neutral languages assume that the male version of the word is a newly accepted neutral word, which does not make it neutral, but only assumes that the male is best.",0.03073985
"Many alternative practitioners propose something without scientific support, which can harm the patient.",0.884242489
"Many criminals fit a certain ethnicity, so for security reasons and to save lives, the police should be allowed to racially profile themselves in exchange for a bit of suffering.",0.842491588
The physical and emotional after-effects of plastic surgery often exceed the main purpose of the operation.,0.825804012
Many people who attend school are not able to teach all the subjects required for a high school diploma.,0.722114629
"Much of what they do is dangerous, including vaccines.",0.742303749
"Many women who prostitute themselves have been sexually abused, so perhaps it is better to have a better option.",0.075838553
A low turnout means that the elected government does not represent the real desire of the country; compulsory voting would mean that an elected government would have a real mandate.,0.981712522
A majority of students are unable to pay for the high cost of going to college,0.772791096
"A man or woman has the right to do what they want with their body, and if they decide to sell it for sex, the government should not interfere.",0.896834081
A mandatory retirement age allows employers to bring new talent into the workplace,0.555817174
"A compulsory retirement age ensures that at least one job in a given profession opens on a predictable basis, allowing younger workers to leave an older one.",0.99936336
A mandatory retirement age will help employers regularly refresh workers with new talent,0.202322077
A man's place in the world of work is to provide for his family. Why should anyone else have to pay for this man's family just because he does not want to go to work?,0.00175686
"Marriage is a piece of paper, nothing more.",0.04342911
