argument,score
Economic sanctions cause death and suffering for the civilian population and are a completely unfocused instrument of diplomacy.,0.881082023
Economic sanctions create a hard feeling between nations and can cause war.,0.117830399
Economic sanctions increase the price of everything.,0.823427512
Economic sanctions cause more conflicts than they solve,0.226215461
Economic sanctions lead to safer trade in goods,0.00230785
Economic sanctions make trade in goods more expensive and limited,0.959056921
Economic sanctions suffocate the economy in a way that punishes ordinary citizens for their government's actions.,0.956483279
Economic sanctions exclude other countries,0.271700744
"Economic sanctions have closed the door for the violent government to get the resources it needs to continue oppressing its people, and they are a great tool to make concessions without using force and avoiding death.",0.375020278
Economic sanctions help Western countries prevent the spread of terrorism.,0.953279505
Economic sanctions do more harm than good,0.00223963
"Economic sanctions do more harm to the people who live under an evil regime than to the elites who govern it, which is why they are unjust and should be banned.",0.979207516
Economic sanctions do not bring about change in the country and usually only harm the individual in a country who loses his or her job and sees his or her cost of living rise through no fault of his or her own.,0.926881321
"Economic sanctions do not help to deal with a bad country, they only starve the people who live in the affected area.",0.954356072
Economic sanctions only harm ordinary people; they do nothing to punish those in power.,0.936057961
"Economic sanctions do nothing to those in power, and instead ruin the lives of ordinary citizens.",0.947072836
Economic sanctions do little to learn a lesson and instead harm the country's innocent civilian population.,0.838285201
Economic sanctions don't work and lead to having enemies abroad,0.373914116
"Economic sanctions don't work because the country can bypass them, so we should stop using them as a negotiating tactic",0.126000616
Economic sanctions don't work because they don't last long enough,0.098973866
Economic sanctions promote the hostility of the target group.,0.626279715
Economic sanctions end up hitting more citizens than governments,0.925575861
Economic sanctions end up hurting ordinary people more than the government they seek,0.991688252
Economic sanctions end up hurting people at the bottom,0.847110579
"Economic sanctions force leaders to do the right thing under pressure from their citizens and other governments, when the other option is a war in which no one wins.",0.990317582
Economic sanctions generally do more harm than good to those who are subject to them and who are no longer in the best interests of our country.,0.999299479
"Economic sanctions harden a population against outside influence that ultimately tries to help them, and foster the extremism element.",0.965753173
Economic sanctions hurt innocent people,0.992783344
