argument,score
"If someone is able to do their job, it should be their decision on when to retire, not the decision of some bureaucrat.",0.588067825
a long a the child is not forced and wants to act then they should be allowed,0.671771456
"As long as the child really wants this and is adequately supervised, they should be able to act.",0.984687809
"For as long as the child follows a standardized curriculum, homeschooling can be a rewarding experience for some people.",0.74224226
"a long a the operation ha a specific goal, a realistic chance of success and parental consent there is no valid reason for a ban",0.607495984
"As long as there is no forced marriage and these people absolutely love each other and the others they are married to do not influence them, why can't we make it legal?",0.838162966
"as long as there is adequate protection for child actors, there is no reason why they should not be able to appear on screen",0.303228417
"As long as they are properly informed, someone should be allowed to sell organs for a fee if he chooses to do so.",0.881884897
a long a they have parental permission should the child be allowed to improve their physical appearance,0.469596447
"As long as they use a licensed plastic surgeon, people should be able to do what they want with their bodies.",0.759432739
"As long as those who enter into this relationship are of age, we should legalize polygamy. This lifestyle does not harm anyone and does not harm society. People should be free to love whoever they want.",0.637788908
"As long as we do not overfish, there are no negative consequences for whaling and no reason to ban it.",0.295059958
"We have long had deep-rooted racial or sexuality-based prejudice and violence, and we continue to need a safe place.",0.796633807
"If a whale is not threatened with extinction, people should be allowed to use the whale for their oil, their blubber, etc. for food supplements, etc.",0.852120174
"If a whale is not on the verge of extinction, people should be allowed to make a living in this way if they so wish.",0.929006843
"Since many people's views do not coincide with those of the two major parties, we cannot say that the current system is truly representative.",0.908382234
"A mother is forced out of the house and back to work, instead of being allowed to remain in the role of a carer, we should not subsidise her stay at home because she displaces the mother.",0.046072912
"a our national debt continues to climb, I think it is important that we introduce an austerity regime, we have to cut spending on everything and we have to fix this massive debt.",0.484462257
"As our population grows, we must have a place to live, and urbanization will of course take place, and we need more space for people.",0.747070561
Compulsory retirement ensures that the profession is filled with people who are at the peak of their cognitive and physical capabilities.,0.9889158
Compulsory retirement forces people living longer to marginalise those who can still make a positive contribution to the workforce,0.818051175
"Since people are born randomly into the world, and for the most part do not choose the community into which they are born, they should not be obliged to serve the collective because they have not consented to its existence.",0.990071366
"As people have children later and later, compulsory pensions prevent people from providing for their families and dependents.",0.999600704
"People are getting older, their reaction and thought processes are slowing down, their eyesight and hearing are deteriorating, and a mandatory retirement age reduces the dignity of being discharged because they are no longer fulfilling their duty.",0.740718754
"When people live longer and have variable health, the idea that everyone must retire at a set age is archaic, and therefore we should end compulsory retirement.",0.994437657
"As the quality of life improves and average life expectancy increases, compulsory retirement seems more and more out of step with modern human experience.",0.095688151
"A society and a change in values, marriage is no longer popular as it once was and the divorce rate continues to rise.",0.812993459
"a song in which another nation has nuclear weapons, we must not give up our own",0.003469933
"As the world's population continues to grow, urbanization is needed to ensure that there are enough housing and employment opportunities for society to function.",0.889964389
"As the only actor that can legitimately exercise the use of force, the state has a duty of reparation to the victims and their families to seek retribution against criminals, including the use of the death penalty.",0.356269061
