argument,score
Affirmative action ensures that people from all walks of life can make progress.,0.915308903
"Affirmative Action exposes people in schools and workplaces to a variety of cultures and ideas different from their own, fostering a more tolerant community.",0.840988529
Affirmative action favors qualified people at the expense of more qualified people,0.622976756
"Affirmative action forces employers to select people based on traits, not merit.",0.970159793
Affirmative action fuels resentment among white men.,0.910475839
Affirmative action gives people a chance to make progress that would not normally be possible.,0.102521884
Affirmative action gives minorities an unfair advantage and leaves potentially better candidates no chance.,0.985454326
"Affirmative action gives additional support and privileges to a group of people who may have been held back in the past, but today people are not oppressed for long, so additional help should not be needed.",0.436315635
Affirmative action gives jobs to people who aren't qualified to do it,0.309398512
Affirmative Action Gives Minorities a Chance at Education,0.842567655
Affirmative Action Gives Minorities a Chance to Go to Better Schools,0.541309987
Affirmative action is no more unjust than being born rich.,0.00128848
Affirmative action gives people a chance they might not otherwise deserve.,0.766148486
Affirmative action gives a chance to those who have suffered discrimination and had no chance because of their minority status.,0.895237226
"Affirmative action gives a chance to those who have been discriminated against and overlooked for wok, education, etc., because of their minority class.",0.391140691
"Affirmative action gives a chance to those who may not deserve it, simply because of a factor of their personality that is irrelevant to the job.",0.987423523
Affirmative action gives a chance to those who would otherwise not be treated fairly.,0.761075145
Affirmative action gives people unfair advantages over others,0.710234157
"Affirmative action gives people who are denied employment, educational opportunities, etc., because of their minority status.",0.058909959
Affirmative action gives one group an advantage over another and does not prevent discrimination; just because the discrimination is positive does not make it right.,0.252691798
"Affirmative action gives those who are discriminated against on the basis of appearance, ethnicity, and skin color a chance to improve if they had not been taken into account.",0.996986838
"Affirmative action is directly directed against equality. If we want to achieve real affirmative action for equality, it must stop.",0.954210254
Affirmative action harms those who choose to work hard all their lives to gain admission to the nation's largest university.,0.834732637
Affirmative action has enabled a more diversified labor force and a broader student population.,0.584164432
"Affirmative action has given many people jobs that they might not otherwise have been able to get, and that's not a bad thing.",0.475148948
Affirmative action has done its job and is no longer necessary.,0.210951399
Affirmative action has done its job and is therefore no longer necessary.,0.038891741
Affirmative action has outlived its usefulness and is now a way to discriminate against non-minorities,0.982878669
"Affirmative action has succeeded in giving more opportunities to those who would not otherwise have received them, and in creating more diverse jobs and universities.",0.839717744
Affirmative action has served its purpose and is no longer needed.,0.031318231
Affirmative action helps combat racism.,0.352800319
Affirmative action helps to create a level playing field.,0.247661633
Affirmative action helps people find jobs that otherwise would not be able to get one.,0.647098754
Affirmative Action Helps Fight Prejudice in Recruitment Practice,0.99992128
Affirmative Action Helps Create Equality Among Underclass Groups,0.883710584
"Affirmative action helps protect everyone, regardless of race or gender",0.938654226
Affirmative action helps with employment equality.,0.991752596
Affirmative action hurts more people than it helps.,0.008070953
"Affirmative Action improves the representation of minorities in areas where this part of society has been unfairly blocked in the past, thereby merely correcting an injustice.",0.854271657
Affirmative action in itself is racist politics.,0.872376529
"Affirmative action institutionalizes incompetence, and that will lead to a worse life for all.",0.149940569
"Affirmative action is still necessary, a minority is still under-represented in certain parts of society.",0.961472796
"Affirmative action is a bad action. It seems to correct past injustices, but in reality it only propagates this injustice in a new form.",0.938769457
"Affirmative action is a useful system for ensuring fairness and equality in all areas of society and commerce, which tends to favor affluent white heterosexual men.",0.897522225
"Affirmative action is a benefit to society as a whole, as it enables disenfranchised communities to escape poverty and become independent.",0.987490333
Affirmative action is a decent and appropriate way to reach even the playground.,0.006606862
Affirmative action is in itself a form of discrimination.,0.596790852
Affirmative action is a form of discrimination that denies opportunities to qualified persons if they do not belong to a targeted minority group.,0.860592084
Affirmative action is a good tool for past injustices. It is a good tool to give everyone a chance to succeed in society.,0.161805985
Affirmative action is a good way to ensure that minorities have a fair chance of employment and education.,0.807334919
Affirmative action is a way for the lucky few to improve their financial status,0.697905737
Affirmative action is a way to make amends for past wrongs committed against certain groups that would otherwise have difficulty moving forward.,0.830917621
Affirmative action is an attempt to correct the wrongs of the past,0.975627573
Affirmative action is an insult that cannot be credited to minorities for their ability to achieve something on their own.,0.958143392
Affirmative action is antiquated and unnecessary.,0.689793913
"Affirmative action is basically the opposite of racism, and racism in any form is wrong.",0.9996523
"Affirmative action is basically the opposite of racism, and racism of any kind is wrong.",0.730736224
"Affirmative action is inherently patronizing and condescending, sending the message that minorities cannot succeed on their own.",0.084584759
"Affirmative action is at odds with democratic views; it should be rewarded by merit, not by any kind of bias.",0.885053552
"Affirmative action is counterproductive, rather than helping minorities simply by putting them in a permanent position of need.",0.985390669
Affirmative action is essential to help correct prejudice.,0.99740864
Affirmative action harms minorities by implicitly suggesting that they are unable to succeed in life on their own.,0.968452798
Affirmative action harms people from minorities who gain their position on their own merits,0.977487207
Affirmative action is discriminatory and should be banned,0.828214365
Affirmative action is discriminatory and unnecessary in the 21st century,0.603242178
"Affirmative action is good for women, minorities, and anyone else who has been discriminated against in the past.",0.999786784
Affirmative Action Helps Secure Multiculturalism,0.915443241
Affirmative action is important because it helps so many people in their lives.,0.195672322
Affirmative action is in some ways just another way of describing it. No one should receive additional benefits just because of their race or gender.,0.953769198
Affirmative action is inherently racist and creates hostility and mistrust.,0.969989242
"Affirmative action is incredibly important to ensure visibility and equality in a society where systemic racism, sexism, and homophobia are rooted in a trading system.",0.984110842
Affirmative action is ineffective in ensuring high-quality education,0.932109925
"Affirmative action is just a fancy name for reverse racism, or simply racism.",0.13143511
"Affirmative action is just another form of racism, there is no place for it in our society.",0.825874218
"Affirmative action is just another way to make the playing field uneven; it may have had value in the past, but now it merely perpetuates inequality.",0.889302204
Affirmative action is exactly the reverse discrimination and should be ended.,0.928889611
"Affirmative action is just one data point on a list of factors, and it helps those who might not otherwise have gotten a chance because of the socioeconomic factor.",0.502576083
Affirmative action is just racism in a pretty dress. We have to stop this now. We cannot allow racism in any format to be OK.,0.467302977
Affirmative action is needed to compensate the minority for the century of slavery and oppression.,0.730125495
"Affirmative action is needed to end the discrimination that has occurred throughout the year and create equal opportunities for all, which will lead to a balanced community.",0.832093796
Affirmative action is necessary to create a level playing field for work and society.,0.412664023
Affirmative action is necessary to compensate for the injustice done to minorities,0.243415793
"Affirmative action is needed to repair the damage done by past injustices, such as slavery.",0.693150054
Affirmative Action is Necessary to Compensate for Many Decades of Discrimination,0.917679547
"Affirmative action is necessary to correct the imbalance created by years of oppression of non-white men, which is still prevalent today, and affirmative action helps to redress the balance.",0.982463996
Affirmative action is necessary to give the minority a fair chance of success and to end discrimination in the workplace.,0.844089341
Affirmative action is necessary to correct the wrongs of our past treatment of certain minorities.,0.758238803
"Affirmative action is needed, and indeed it is only a small step to compensate the minority for the century of oppression and inequality.",0.945574475
Affirmative action is no longer necessary,0.003244183
"Affirmative action is no longer necessary, another minority is able to prove to the employer that they are worthy workers.",0.848837839
"Affirmative action is no longer necessary, as there are very few barriers for people entering the labor market.",0.50741872
"Affirmative action is no longer necessary in modern society; society is much fairer and more equitable to all people than in history, and society can monitor and adapt itself better than before.",0.986451981
Affirmative action is no longer necessary and should be stopped,0.000784527
Affirmative action is no longer necessary because we are a very diverse society today,0.794729026
Affirmative action is no longer necessary in today's society,0.030981972
Affirmative action is no longer necessary when everyone has a fair chance.,0.171518367
Affirmative action is no longer necessary.,0.000609096
Affirmative action is not fair to people who have worked hard to earn a position,0.560358348
Affirmative action is not fair to the rest of the population and should not be implemented.,0.29002435
"Affirmative action is not good for the economy, because it forces it to look for people vying for talent, and that is why we should stop it.",0.772343833
"Affirmative action isn't helpful, just for people who try it, and that can't be bad.",0.00587509
"Affirmative action is not intended to compensate for past injustices, but current injustices that favor people who do not deserve it.",0.721155635
"Affirmative action is nothing other than to reverse racism. What about the non-minority who are denied a job or promotion because they have to look after a minority instead, even though they are not qualified?",0.854687539
Affirmative action is often the only way for this minority to prove itself,0.798723251
"Affirmative action is old school and no longer widespread, time for change.",0.016161835
Affirmative action is only necessary to correct previous wrongs and increase the representation of minorities in a particular group.,0.289311438
Affirmative Action Is Inverse Description Against the Majority,0.93606516
Affirmative action is reverse discrimination,0.941554661
"Affirmative action means reversing discrimination and giving jobs to people based on the fact that they are a minority, whereas someone in the majority might be more qualified.",0.968625021
"Affirmative action is reverse discrimination. By giving preference to minorities, it discriminates against non-minorities.",0.975911773
Affirmative action is still important to many,0.000269382
"Affirmative action is still necessary, as a regrettably protected class of people is still not treated equally.",0.6635046
Affirmative action is still needed to protect minorities from discrimination,0.938078772
Affirmative action is still necessary and serves a purpose,0.111490098
Affirmative action is still necessary in our society,0.254575255
Affirmative action is still needed to correct institutional discrimination.,0.879627456
Affirmative action is still needed to protect minorities,0.110680232
Affirmative action is still racial discrimination no matter how you paint it,0.678633482
Affirmative action is the best way to ensure a diverse society,0.999088321
Affirmative action is the best way to lift and keep people of color out of poverty.,0.949265501
Affirmative action is the correction of past injustices. History has favored one group of people too much. Affirmative action's correction of this injustice is simply justice.,0.33440605
"Affirmative action is the only way some people will ever make it in their chosen profession, and we cannot allow it to end.",0.323932033
"Affirmative action is the only way a minority can be sure of employment, and the practice should continue",0.631963642
"Affirmative action is unfair when a single minority receives special treatment, giving preferential treatment to those who are not in the minority.",0.740740372
Affirmative action is unfair to people who lose their jobs because they are not a minority.,0.93529507
Affirmative action is unfair to a group of people and should be stopped immediately,0.18679525
Affirmative action is unfair to those who do not fit into a group that has been labeled discriminated against in the past.,0.971122296
Affirmative action is unfair to those who make it without affirmative action despite all their accomplishments.,0.627461072
Affirmative action keeps prejudice out of the hiring process.,0.102697174
Affirmative action discourages companies from rejecting applicants based on the color of their skin.,0.893136072
Affirmative action discourages more qualified people from getting the job they need because they do not fit the demographic profile they need at that time.,0.907248152
"Affirmative action leads to productive outcomes in both education and business, because the most qualified often miss the chance to meet quotas.",0.780506954
Affirmative action leads to lower morale in the workplace and demoralisation in the job search sector,0.843366769
Affirmative action leads to no more incompetence than being born rich.,8.17e-05
Affirmative action leads to organizational inactivity or bad behavior.,0.073692635
Affirmative action gives disadvantaged people a real chance to move forward and succeed from a low starting point.,0.93104387
Affirmative Action allows minority students to go to high school.,0.784526742
"Affirmative action makes race the dominant factor in the admissions and hiring process. Someone applying for a job or school should be judged by merit, not minority status.",0.954490199
Affirmative action ensures that people get jobs regardless of the demographic profile they fit into.,0.412796363
Affirmative action makes the playing field a level playing field for everyone.,0.606744535
"Affirmative action compensates for years of discrimination in the past, so it should continue.",0.903630492
Affirmative action balances out year of racism and gender stereotyping and should continue for that reason.,0.890236493
"Affirmative action may have been necessary in the 1960s, but it is no longer necessary and should be ended.",0.788279754
"Affirmative action may have been necessary in the past, but the expansion of opportunities for women and minorities over the past decade has rendered affirmative action obsolete.",0.851894859
Affirmative action can hurt people because they feel that they have not asserted themselves through effort alone.,0.865655778
Affirmative action may lead to a reversal of discrimination to the detriment of the non-beneficiary party,0.979826268
Affirmative action can prevent the best person from being bypassed for the job and limit the employer's ability to improve,0.847434157
Affirmative action means helping clever people with disadvantages,0.00208507
"Affirmative action means, in most cases, subsidizing terrorism.",0.02455985
"Affirmative action must be in place to ensure that everyone is eligible for a position regardless of race, nationality, religion, disability or gender.",0.765702166
Affirmative action must continue so that we can correct the wrongs of the past,0.994986616
Affirmative action only adjusts the starting block and does not manipulate the race.,0.002527935
"Affirmative action benefits only a select group of society, not society as a whole.",0.969815896
Affirmative action only gives people a head start to compete with others who had a head start of a different kind.,0.037144036
Affirmative action only serves to do what is not intended to discriminate,0.947002765
"Affirmative action creates employment opportunities for underprivileged, disadvantaged groups.",0.998888827
"Affirmative Action Place encourages universities and employers to select an otherwise qualified candidate on the basis of his or her race, which results in the selected candidate having to struggle in his or her new job / school.",0.423850718
Affirmative action politics is no longer needed in this country.,1.42e-05
Affirmative Action Prevents Employer Discrimination,0.999206407
Affirmative action privileges people because of characteristics beyond their control and is therefore an unfair system of government and discriminatory.,0.886219486
Affirmative Action punishes qualified candidates based on the color of their skin.,0.95327671
"Affirmative action puts people in a job for which they are not qualified, rather than someone who",0.843366769
"Affirmative action reinforces stereotypes. If a person gets a job just because of affirmative action and acts badly, it can perpetuate the notion that all members of their race / ethnic group are incompetent.",0.999762507
Affirmative action remains necessary as long as minorities are still discriminated against,0.94594985
Affirmative action leads to a reduction in the quality of our workforce. The best candidate should always get the job.,0.473687198
"Affirmative action leads to unfair discrimination for other groups, many more people are losing out now because there is supposedly a majority group that excludes them from many possibilities.",0.997027056
Affirmative Action aims to counter discrimination and promote justice,0.860117055
Affirmative action only serves to favour those who are currently disadvantaged by the existing system.,0.24044704
"Affirmative action aims to reverse past prejudices by guaranteeing previously disadvantaged minorities a place (in a school, government, etc.).",0.687915334
"Affirmative action has doomed people to failure because they are admitted on the basis of race, not merit.",0.976193897
Affirmative action should be allowed to allow people with minority backgrounds to need it in order to succeed.,0.486508528
Affirmative Action Should Continue to Correct Past Discrimination,0.572621303
"Affirmative action should be ended, because it actually prevents an employer from hiring a better-qualified employee and creates negativity in the workplace.",0.998238631
Affirmative action should end because it can favor the minority and promote reverse discrimination,0.945202261
Affirmative action should be stopped so that it benefits only certain people.,0.390663526
"Affirmative action should be stopped because it devalues the achievement of people from disadvantaged backgrounds who, on their own merits, have gotten to where they are.",0.928321195
