argument,score
"In today's world, where the Internet and fake news are everywhere and fake news sells the most and is the most attractive, we should stop supporting journalism.",0.003925546
"In today's society, people are older and we should not penalise those who want to continue working by forcing them to retire.",0.999976069
"In today's fluid society, where sexual identity is fluid, neutral language should be used to prevent misinterpretation and insults to others, no matter how innocent the intent.",0.256356169
"Increasing consumer spending and demand is crucial in difficult economic times, and this cannot be achieved through a austerity regime.",0.995701548
Incentives to perform at the highest level and the attractiveness of the position are important factors to maintain a competitive and successful company in a fast-moving and aggressive market.,0.650704916
Inclusive language helps end stereotypes about the LGBT community,0.084453217
Inclusive language is a serious violation of education,0.000859968
Inclusive language is the first step towards creating a society where the LGBT community is not abused,0.551579199
Income inequality is the highest level ever reached when executives earn more in a week than minimum wage earners in a year. This situation is simply obscene and needs to become more realistic.,0.964943214
The increasing demand for cosmetic surgery increases innovation and helps people who need conventional surgery.,0.481279777
Increasing activism by the judiciary would allow constitutional democracy to cope with today's society and its value.,0.910969151
Increasing urbanization can have negative effects on the natural environment,0.954740846
Endless imprisonment and torture completely undermine the standard of decency and justice that makes America a country worth working for.,0.999978072
Indefinite detention in Guantanamo Bay without first subjecting the detainees to criminal proceedings is a violation of their human rights.,0.993565083
"Independent journalism is threatened by the paywalls on the Internet, many of which can no longer afford it. Public subsidies for truly free and independent journalism would benefit everyone.",0.79210617
Independent thinking is important; the fact that children are exposed to ideas that their parents do not like keeps them from being brainwashed.,0.00561573
There is no reason to deprive them of something vital to their culture.,0.275116541
Individuals have the right to marry whoever they want without state intervention.,0.864370981
Individuals are the best arbiters of their own desires and well-being; they should be able to decide for themselves when to retire.,0.999576904
"The individual is the best arbiter for his own good, it is wrong for the government to restrict his freedom in this way.",0.451738732
Individuals have freedom of speech and should be able to exercise it even if it offends other people,0.166340366
"Individuals have the right to make decisions that are most effective or harmful to themselves, which means that the state cannot prohibit naturopathy.",0.690672305
Individuals have the right to make themselves more beautiful or to correct shortcomings.,0.919228617
Individual needs are more important than the group,0.124323281
Individuals should be able to work long hours as long as they are willing and able.,0.545456218
"Individuals should be judged solely on their suitability for a position and merit; affirmative action is merely a form or discrimination, perpetuating the very crime that seeks redress.",0.983318899
"The individual should ultimately decide on his or her decision, as he or she is best informed about his or her needs and what measures would give meaning and joy to his or her life.",0.018502661
Individuals should make their own medical decisions.,0.19376019
People living in remote areas must be able to protect themselves,0.940334665
Individuals will feel compelled to sell their organs to help poor friends and families.,0.033817803
"Inequality between rich and poor means that people are unable to obtain a basic income, and executive compensation should be distributed more widely among all employees.",0.947002765
Infertile or same-sex couples have the same right to have a child as everyone else; surrogacy makes this possible.,0.139514945
Trench warfare between coalition members can prevent real work from being done.,0.000382559
Information should be freely available to all,0.30672969
Inhumane acts are carried out with the prisoner,0.280982987
"Prisoners sentenced to life imprisonment are a massive drain on financial resources, and the death penalty eliminates these costs.",0.712399005
"Innocent lives can be destroyed due to a unique moment of weakness, or the making of a bad decision and entanglement can lead to innocent people being captured.",0.782977717
"Innocent people are often mutilated and killed by weapons in the wrong hand, innocent lives would be saved if they were banned",0.941402147
Innocent people can be wrongly convicted and executed.,0.973041183
"Instead of basing position solely on merit, affirmative action can lead to giving a position to someone who does not deserve it just because the law dictates it.",0.937828696
"Instead of creating a safe space, we should strive to make the world a better place, with more tolerance and acceptance.",0.499807003
"Instead of cutting social services for the most needy in our country, we should try to spend the money in other countries and on our military.",0.999713039
"Instead of paying someone to have another child, it would be better to adopt one of the many children who need a good family and a good home.",0.929817484
"Instead of teaching students why their actions are wrong, they just prevent them from expressing themselves",0.001978068
Intellectual aspirations are not isolated and it is possible that more than one person has the same idea and inspiration.,0.455433769
Intellectual property allows large corporations to have a monopoly on their products and restrict the free market.,0.929554394
"Intellectual property belongs to the common good, many pop culture icons are often used",0.015038057
"Intellectual property cannot be abolished, people will want to have ideas and profit from them",0.003778292
Intellectual property does not exist because there is no certainty that this idea has left the mind of a particular person,0.001303371
"Intellectual property is only a valid property, a concrete property. It deserves to be controlled.",0.987956692
"Intellectual property is no different from physical property, so the right of the owner must be protected.",0.943587512
Intellectual property is in many cases such a vague concept that a right to it stifles the creativity of others.,0.255292465
Intellectual property is the property of the global community of pop culture icon,1.48e-05
"Intellectual property is used to stifle business, it effectively destroys the free market",0.877564809
Intellectual property should be available to everyone after someone has paid for the property,0.003812299
Intellectual property rights are particularly important to prevent former employees from disclosing and processing important information about the company,0.60037496
Intellectual property rights impede innovation and progress by preventing the general development of an idea by others who may deserve the opportunity.,0.41454632
Intellectual property rights are useful to protect people who have innovative products.,0.816944592
Intellectual property rights significantly increase the cost of a product and should therefore be abolished,0.71140324
Intellectual property rights allow a person to reap the reward for inventing and developing an innovative idea.,0.876947891
"Intellectual property rights allow competition between companies, which often leads to positive results for consumers",0.749840426
Intellectual property rights allow people to be paid for the fruits of their labour,0.990674797
"Intellectual property rights allow a company to protect its brand name, invention, design, etc., without which another company would be able to steal another company product.",0.998545001
Intellectual property rights allow a person who has come up with an idea to reap the benefits of his idea.,0.975224999
Intellectual property rights allow companies or individuals to charge far too much for what they have created.,0.30137071
Intellectual property rights allow their creators to receive incentives for their work.,0.530480804
Intellectual property rights and laws can stifle broader innovation,0.890335978
Intellectual property rights are an obstacle to innovation and the further improvement of an idea by preventing others from capitalizing on ideas and technologies.,0.657046583
