argument,score
Fast food has no nutritional value and is therefore a public threat.,0.054152065
Fast food is expensive and bad for you. It should be banned or at least made more difficult to access.,0.123641337
Fast food is extremely unhealthy and should be banned in place of healthier alternatives.,0.003928994
Fast food is extremely unhealthy and contributes to obesity and an increase in heart disease.,0.974280482
"Fast food is only a small part of a more balanced diet, it's an affordable treat for low-income families.",0.913311938
Fast food is fine in moderation and occasionally a treat. It's just a problem when people eat too much of it.,0.915900842
Fast food is fine in moderation and gives busy people a quick way to grab a meal.,0.935483773
"Fast food is full of fat and empty calories, leading to the biggest obesity epidemic in history.",0.993211504
"Fast food is usually fatty and fatty, and by banning it we can tackle the problem of obesity.",0.83465017
Fast food is good for a treat after a basketball game and doesn't have to be negative in moderation.,0.021963895
Fast food is good for busy people who can get something to eat on the go.,0.454863824
"Fast food is good, cheap and easy to obtain, and banning it would lead to many other problems where people do not eat or eat it because they are unable to get so-called real food.",0.785576905
Fast food is great if you're traveling or working overtime; it allows you to get something hot to eat when you don't have time to prepare it yourself.,0.971170429
"Fast food is great when you need a quick meal on the run, and it's more nutritious than snacking on candy bars or unhealthy snacks.",0.675386172
Fast food is harmful to health due to its high cholesterol content and artificial ingredients,0.950991924
"Fast food is heavily marketed to children, setting them up for a lifelong unhealthy habit.",0.968625021
Fast food is helpful for those who have an active lifestyle and need something to eat quickly.,0.261290048
Fast food is high-fat and unhealthy food,0.999847255
Fast food is high in calories and causes subservience,0.961379998
Fast food is terrible and many Americans are becoming overweight and diabetic.,0.184171919
Fast food is terrible for a person's health.,0.278134234
"Fast food is the way people eat, and the job that would be lost wouldn't be worth it in the end.",0.382595637
Fast food is inherently unhealthy and is made with inferior ingredients that affect people's health.,0.999413283
"Fast food is not harmful in itself, but it is the time it is eaten and the amount that is unhealthy",0.095682522
Fast food is known to contain unhealthy fats and no necessary nutrients,0.80416835
Fast food is leading to a significant increase in obesity and other health problems in the US.,0.984125483
Fast food is leading to an obesity epidemic and a health crisis.,0.98425119
Fast food causes obesity not only among adults but also among children and should be banned in the interests of the country's health.,0.957480137
Fast food poses so many health risks that we should ban it for the health of our country.,0.97631033
"Fast food is rich in saturated fat, sodium and cholesterol, but offers little nutritional value, and the government has a duty to protect its citizens from this damage.",0.887703959
Fast food makes people fat and clogs their arteries. It is unhealthy and costs America hundreds of millions due to health problems caused by obesity. Fast food should be banned for health reasons.,0.903557929
Fast food is necessary in our modern world and helps people get a cheap meal.,0.981199439
Fast food benefits no one because it makes people fat and unhealthy.,0.090566111
"Fast food is not unhealthier than some gourmet food, it is just cheaper and prepared with a costly ingredient. Fast food is not the problem, lack of control when eating is the reason why people are fat.",0.833647434
Fast food is not a staple and contributes to a variety of negative health problems such as high cholesterol and sugar.,0.879661905
"Fast food is not always unhealthy, it is simply fast by definition, so it can be a convenient way to eat in the modern world.",0.494888253
Fast food is not healthy and very bad for you.,0.734908989
Fast food is not healthy for anyone and should not be available for consumption.,0.906155803
Fast food is not necessarily a hot dog are all snacks that sell on the street and we are healthy,0.00028785
"Fast food is not only bad for you, it is also harmful for the body and can cause many health problems.",0.801705968
Fast food is not so bad at food and many people need a quick takeaway meal,0.288010034
Fast food is not the problem and does not need to be banned.,0.44184726
Fast food is nothing more than fat and dangerous to health,0.044945681
Fast food is nothing more than junk food. It is high in calories and not very nutritious. We should ban it in order to improve people's health.,0.971891625
"Fast food is devoid of nutrition, cruel to animals, pollutes the environment and is aggressively marketed to impressionable children.",0.999951834
Fast food is often a lifesaver for parents during busy times,0.545803133
Fast food is fine in moderation and does not need to be banned,0.437572342
"Fast food is one of the main components of obesity and there are many health complications. If it were not for fast food, people would have to eat healthier.",0.988768122
Fast food is one of the causes of the global obesity crisis and should be banned,0.998353689
Fast food is one of the leading causes of obesity.,0.987507891
"Fast food is just a short-term, one-off solution to hunger",5.54e-05
"Fast food is part of our culture and can't be banned, it doesn't really hurt.",0.924678823
"Fast food is perfectly healthy when consumed in moderation, and the focus should be on educating consumers and not on imposing a draconian ban.",0.966780313
Fast food is an unhealthy meal choice,0.097291048
Fast food is fast and affordable and a perfectly legitimate choice,0.671771456
Fast food is fast and convenient and relatively cheap for those who do not have their own cooking facilities but want a hot meal.,0.991012192
Fast food is fast leading to childhood obesity and an unhealthy generation.,0.953806485
Fast food is relatively cheap and sometimes it's the only meal people can afford,0.552876263
Fast food is seriously unhealthy and contributing to the global obesity epidemic,0.887848099
Fast food is simply the unhealthiest food you can eat and should therefore be banned for the health and well-being of the population.,0.902551071
Fast food is simply too unhealthy and will lead to higher health costs in the future. It must be banned for the benefit of society.,0.881558256
"Fast food is so unhealthy for you that banning it would be the best way to save people from themselves. Sure, it's quick and easy, but at what cost?",0.82424901
"Banning fast food is one of the unhealthiest things, and it would help the national obesity problem.",0.180124191
Fast food is sometimes the only option for families who are constantly on the move.,0.362061589
"Fast food is sometimes the only way for poor people to feed their families cheaply, and banning it deprives someone of their only meal.",0.257015919
Fast food is terrible for the human digestive system and should be banned.,0.977893282
Fast food is terribly unhealthy for us.,0.859331935
